id,date,user,text,status,screen_id
1081976614811066369,2019-01-06 18:11:41,gsmith2381,If you jump at a Ben Simmons shot-fake you should just retire,FOR_REVIEW,5
1081976637510438912,2019-01-06 18:11:47,MikeILES7,GREAT tweet...................,FOR_REVIEW,6
1081976688999841799,2019-01-06 18:11:59,JahangirSartaj,"Both, Quack Jurnos &amp; Quack Doctors are flourishing in Pak; minting money. The former group has been selling fake ne  https://t.co/mkwvxGh6ph",FOR_REVIEW,7
1081976716309004290,2019-01-06 18:12:05,richardjon123,More reason to be in favour of Brexit.,FOR_REVIEW,8
1081976718846496771,2019-01-06 18:12:06,emillindaaa,Kkkkkkkkkkkkkkkkkkkk fake news   ,FOR_REVIEW,9
1081976730913525761,2019-01-06 18:12:09,MelvinNudelman,I would smile with you if I actually saw results,FOR_REVIEW,10
1081976755743711233,2019-01-06 18:12:15,Intersexindian,CNN going broke and going off the air waves. Worst ratings in history of show. Most distrusted name in fake news CN  https://t.co/zq2yj9sxw3,FOR_REVIEW,11
1081976819816038400,2019-01-06 18:12:30,patriot_angel,Best to block. Thanks!,FOR_REVIEW,12
1081976839759904769,2019-01-06 18:12:35,Juma45629806,The LORD will never surrender to man/media. Our Lord is faithful to bring healing to us.,FOR_REVIEW,13
1081976874069311490,2019-01-06 18:12:43,SuzetteCarp1621,So disturbing!,FOR_REVIEW,14
1081976945414455297,2019-01-06 18:13:00,atasteofcreole,Fake ketamine that s 50 TIMES more powerful and makes users wee themselves found in Britain for the first time  https://t.co/lSDb48NUvI,FOR_REVIEW,15
1081976956189433856,2019-01-06 18:13:03,quartersmarie,"Hey @realDonaldTrump - definitely not a drug dealer, hunan trafficker, or criminal and I DO NOT want the wall. Just  https://t.co/foIFzkcQBg",FOR_REVIEW,16
1081977006198267904,2019-01-06 18:13:15,IsraelG74106925,Heheeeee South Africa really needs a gap year!                     ,FOR_REVIEW,1
1081979079996239873,2019-01-06 18:21:29,marysway,He needs to stop lying.  Maybe have a bracelet on him that shocks him everytime he lies.  I have no idea what would  https://t.co/ANlwjhvUFW,FOR_REVIEW,1
1081979082986962944,2019-01-06 18:21:30,PensacolaInvest,@DeionSandersJr @raylewis @BoJackson @EricDickerson @RealSkipBayless @NateSilver538 @packers @Browns @Titans  https://t.co/EQAzr2Enb8,FOR_REVIEW,2
